"","subject_id","DO_down","DO_up","MI_down","MI_up","SOL_down","SOL_up"
"43","am11",1.08958333333333,1.14,1.35416666666667,0.986666666666667,1.34761904761905,1.00416666666667
"44","am12",0.56875,0.922222222222222,0.81875,0.686111111111111,0.713333333333333,0.65625
"45","am13",0.391666666666667,0.542857142857143,0.439583333333333,0.466666666666667,0.389583333333333,0.389583333333333
"46","am14",0.614583333333333,0.68125,0.747619047619048,0.652083333333333,0.538095238095238,0.55625
"47","am15",0.560416666666667,0.866666666666667,0.614285714285714,0.777777777777778,0.680952380952381,0.735416666666667
"48","am16",0.4375,1.14166666666667,0.552083333333333,0.770833333333333,0.533333333333333,0.427083333333333
"49","am17",0.40625,0.391666666666667,0.422916666666667,0.425,0.3875,0.395833333333333
"50","am18",0.633333333333333,0.823809523809524,0.80952380952381,0.908333333333333,0.919444444444444,0.572916666666667
"51","am19",0.60625,1.38666666666667,0.852380952380952,1.03611111111111,0.858333333333333,0.8125
"52","am20",0.808333333333333,1.15625,1.06041666666667,1.09791666666667,0.720833333333333,0.96875
"53","am21",0.48125,0.702083333333333,0.645833333333333,0.610416666666667,0.730952380952381,0.5875
"54","am22",0.36875,0.583333333333333,0.40952380952381,0.725,0.528571428571429,0.38125
"55","am23",0.722916666666667,0.7375,0.729166666666667,0.541666666666667,0.63125,0.479166666666667
"56","am24",0.716666666666667,0.802083333333333,0.708333333333333,0.685416666666667,0.911111111111111,0.6125
"57","am25",0.45,0.669444444444445,0.64375,0.623809523809524,0.520833333333333,0.525
"58","am26",0.85625,0.814583333333333,0.864583333333333,0.791666666666667,0.929166666666667,0.677083333333333
"59","am27",0.45,0.736111111111111,0.6,0.558333333333333,0.595238095238095,0.55
"60","am28",0.89375,1.31666666666667,1.02291666666667,1.32083333333333,1.03125,0.920833333333333
"61","am29",0.470833333333333,0.65952380952381,0.511111111111111,0.641666666666667,0.626190476190476,0.445833333333333
"62","am30",0.90625,1.29166666666667,1.125,1.08333333333333,1.22083333333333,0.854166666666667
"63","am31",0.99375,1.4,1.16190476190476,1.05555555555556,1.63095238095238,1.0375
"64","am32",0.954166666666667,1.33571428571429,1.2,1.51111111111111,1.31904761904762,1.2125
"65","ie01",0.4,0.485416666666667,0.416666666666667,0.485416666666667,0.45,0.439583333333333
"66","ie02",0.745238095238095,0.25,0.404166666666667,0.458333333333333,0.5,0.673333333333333
"67","ie03",0.4375,0.447916666666667,0.427083333333333,0.485416666666667,0.447916666666667,0.416666666666667
"68","ie04",0.845833333333333,0.902083333333333,0.833333333333333,0.820833333333333,0.94375,0.747916666666667
"69","ie05",0.389583333333333,0.5875,0.410416666666667,0.676666666666667,0.439583333333333,0.4125
"70","ie06",0.364583333333333,0.44375,0.414583333333333,0.477083333333333,0.425,0.43125
"71","ie07",0.5,0.811111111111111,0.535416666666667,0.680952380952381,0.503333333333333,0.533333333333333
"72","ie08",0.483333333333333,0.844444444444444,0.73125,0.721428571428571,0.9,0.439583333333333
"73","ie09",0.427083333333333,0.741666666666667,0.489583333333333,0.64375,0.4875,0.525
"74","ie10",0.654166666666667,1.06666666666667,0.702083333333333,0.857142857142857,0.99375,0.697916666666667
"75","ie11",0.525,0.41875,0.5125,0.464583333333333,0.570833333333333,0.39375
"76","ie12",0.641666666666667,0.8375,0.777083333333333,0.829166666666667,0.78125,0.7875
"77","ie13",0.6375,0.855555555555556,0.777083333333333,0.680952380952381,0.81875,0.485416666666667
"78","ie14",0.785416666666667,1.0625,1.06041666666667,1.17291666666667,1.08333333333333,0.85625
"79","ie15",0.689583333333333,0.939583333333333,0.6625,1.21666666666667,0.760416666666667,0.939583333333333
"80","ie16",0.675,1.56944444444444,0.986666666666667,0.972222222222222,1.2,0.791666666666667
"81","ie17",0.654166666666667,1.16041666666667,0.6125,1.07142857142857,1.07619047619048,0.723809523809524
"82","ie18",0.560416666666667,0.6625,0.65625,0.610416666666667,0.55,0.729166666666667
"83","ie19",0.4,0.55952380952381,0.4,0.614583333333333,0.395833333333333,0.39375
"84","ie20",0.814583333333333,1.30416666666667,1.07708333333333,0.883333333333333,0.858333333333333,0.779166666666667
"85","ie21",0.46875,0.7625,0.477083333333333,0.623809523809524,0.5625,0.425
"86","ie22",0.791666666666667,1.12291666666667,0.854166666666667,1.05833333333333,1.1047619047619,0.795833333333333
"87","ie23",0.458333333333333,0.59375,0.422916666666667,0.754166666666667,0.521428571428571,0.427083333333333
"88","ie24",1.18958333333333,2.25,1.3625,1.25666666666667,1.45,1.31666666666667
"89","ie25",0.36875,0.497916666666667,0.485714285714286,0.49375,0.458333333333333,0.410416666666667
"90","ie26",0.502083333333333,0.902083333333333,0.4375,0.604166666666667,0.554166666666667,0.564583333333333
"91","ie27",0.489583333333333,0.754166666666667,0.547916666666667,0.660416666666667,0.560416666666667,0.458333333333333
"92","ie28",1.18333333333333,1.37291666666667,0.94375,1.29166666666667,1.11875,1.1375
"93","ie29",0.8,1.15952380952381,0.916666666666667,0.958333333333333,0.775,0.858333333333333
"94","ie30",0.495833333333333,0.722222222222222,0.510416666666667,0.46875,0.585416666666667,0.589583333333333
"95","ie31",0.797916666666667,0.975,0.633333333333333,0.858333333333333,0.692857142857143,0.689583333333333
"96","ie32",0.833333333333333,1.52916666666667,0.977083333333333,1.25,1.19285714285714,1.04047619047619
"97","ie33",0.416666666666667,0.588095238095238,0.541666666666667,0.502083333333333,0.520833333333333,0.385416666666667
"98","im01",0.728571428571429,1.17857142857143,0.69375,0.952380952380952,1.12222222222222,0.8125
"99","im02",1.0375,1.31,1.09523809542857,1.23055555566667,1.07777777783333,0.923809523714286
"100","im03",0.433333333375,NA,0.700000000125,1.15,1.0366666666,0.3125
"101","im04",0.472916666666667,0.4625,0.43125,0.480952380952381,0.383333333333333,0.379166666666667
"102","im05",0.458333333333333,0.480952380952381,0.522916666666667,0.589583333333333,0.489583333333333,0.441666666666667
"103","im06",0.847916666666667,1.13888888888889,0.85,1.09583333333333,1.29285714285714,0.5625
"104","im07",0.902083333333333,1.31111111111111,1.12291666666667,1.3,1.14047619047619,0.9375
"105","im08",1.4952380952381,1.5375,1.5452380952381,1.6,1.475,1.17142857142857
"106","im09",0.608333333333333,0.742857142857143,0.5625,0.733333333333333,0.564583333333333,0.489583333333333
"107","im10",0.766666666666667,0.966666666666667,0.830952380952381,1.1,0.85952380952381,0.641666666666667
"108","im11",0.872916666666667,1.15277777777778,1.02083333333333,1.29583333333333,1.13095238095238,0.710416666666667
"109","im12",0.98125,1.48333333333333,1.2125,1.36666666666667,1.47777777777778,1.15952380952381
"110","im13",1.02222222222222,1.16111111111111,1.81388888888889,1.75,1.44,0.964285714285714
"111","im14",0.835416666666667,1.42291666666667,0.885416666666667,0.795833333333333,0.902083333333333,0.635416666666667
"112","im15",0.797916666666667,1.12083333333333,0.9,1.63333333333333,1.42777777777778,0.68125
"113","im16",0.622916666666667,0.758333333333333,0.566666666666667,0.716666666666667,0.604166666666667,0.4625
"114","im17",0.8625,1.21875,1.23095238095238,1.11041666666667,0.966666666666667,0.877083333333333
"115","im18",1.04375,0.921428571428571,1.01111111111111,0.738095238095238,0.588888888888889,0.960416666666667
"116","im19",0.578571428571429,0.828571428571429,0.702083333333333,0.747916666666667,0.85,0.477083333333333
"117","im20",0.875,1.51428571428571,1.18,1.28333333333333,1.43333333333333,0.810416666666667
"118","im21",0.477083333333333,0.729166666666667,0.564285714285714,0.635416666666667,0.697619047619048,0.604166666666667
"119","im22",0.722916666666667,0.972222222222222,0.664285714285714,0.947222222222222,0.864285714285714,0.627083333333333
"120","im23",0.424999999875,1.483333333,0.589583333375,0.863888889,0.799999999857143,0.545833333375
"121","im24",0.985714285714286,NA,1.20208333333333,NA,0.98,1.18095238095238
"122","im25",0.545833333333333,1.01666666666667,0.647619047619048,0.90625,0.547916666666667,0.727083333333333
"123","im26",0.791666666666667,1.09,0.861904761904762,1.22857142857143,1.525,0.9
"124","im27",1.14583333333333,1.33958333333333,1.28541666666667,1.40208333333333,1.3125,1.41458333333333
"125","im28",0.860416666666667,1.375,1.04791666666667,0.954166666666667,1.2875,1.24375
"126","im29",0.620833333333333,1.19761904761905,0.59375,0.786111111111111,0.910416666666667,0.652083333333333
"127","im30",0.741666666666667,0.84,0.871428571428571,1.00238095238095,0.880555555555556,0.73125
"128","im31",0.558333333333333,1.375,0.810416666666667,1.11666666666667,1.00277777777778,0.658333333333333
"129","im32",0.710416666666667,1.35277777777778,0.869444444444444,1.01904761904762,1.16458333333333,0.983333333333333
"130","mo01",1.06458333333333,1.2,1.25714285714286,1.18125,1.28095238095238,1.23958333333333
"131","mo02",0.564583333333333,1.175,0.697916666666667,0.816666666666667,0.666666666666667,0.5625
"132","mo03",0.525,1.01666666666667,0.602083333333333,0.816666666666667,0.688888888888889,0.579166666666667
"133","mo04",0.65625,0.983333333333333,0.85952380952381,0.694444444444444,0.85625,0.647916666666667
"134","mo05",NA,0.69375,1,0.716666666666667,0.693333333333333,NA
"135","mo06",0.266666666666667,0.5,0.266666666666667,0.333333333333333,0.329166666666667,0.227083333333333
"136","mo07",0.6875,1.17916666666667,0.9125,0.921428571428571,0.702380952380952,0.602083333333333
"137","mo08",0.547619047619048,0.783333333333333,0.60625,0.533333333333333,0.619444444444444,0.41875
"138","mo09",0.772916666666667,0.94375,0.775,1.01458333333333,0.814583333333333,0.635416666666667
"139","mo10",0.54375,1.31666666666667,0.970833333333333,1.21904761904762,0.970833333333333,0.73125
"140","mo11",0.5625,0.741666666666667,0.5625,0.711904761904762,0.645833333333333,0.641666666666667
"141","mo12",0.98125,NA,1.2875,1.20555555555556,1.03333333333333,0.929166666666667
"142","mo13",0.552083333333333,1.45,0.83125,0.916666666666667,1.01666666666667,0.725
"143","mo14",0.5875,0.708333333333333,0.820833333333333,0.747916666666667,0.702083333333333,0.620833333333333
"144","mo15",0.310416666666667,NA,0.177777777777778,0.229166666666667,0.241666666666667,0.264285714285714
"145","mo16",0.385416666666667,0.683333333333333,0.404166666666667,0.563888888888889,0.43125,0.51875
"146","mo17",0.510416666666667,0.488095238095238,0.529166666666667,0.471428571428571,0.464583333333333,0.4
"147","mo18",0.470833333333333,NA,0.583333333333333,0.873809523809524,0.744444444444444,0.36875
"148","mo19",0.495833333333333,NA,0.933333333333333,NA,0.552083333333333,NA
"149","mo20",1.1,NA,1.57708333333333,NA,1.35625,NA
"150","mo21",0.510416666666667,NA,0.55,NA,0.616666666666667,NA
"151","mo22",0.35,0.864285714285714,0.591666666666667,0.708333333333333,0.5,0.7375
"152","mo23",0.428571428571429,0.427777777777778,0.263888888888889,0.233333333333333,0.236111111111111,0.169444444444444
"153","mo24",0.63125,1.04166666666667,0.770833333333333,0.952380952380952,0.6,0.46875
"154","mo25",0.402083333333333,1.06666666666667,0.891666666666667,0.730952380952381,0.775,0.483333333333333
"155","mo26",1.01666666666667,1.425,1.10833333333333,1.21666666666667,1.45238095238095,0.672916666666667
"156","mo27",0.129166666666667,NA,0.136666666666667,0.108333333333333,NA,0.127083333333333
"157","mo28",0.70625,1.17777777777778,0.85,1.21111111111111,0.908333333333333,0.616666666666667
"158","mo29",0.285416666666667,0.408333333333333,0.452083333333333,0.397222222222222,0.430952380952381,0.386111111111111
"159","mo30",0.76875,1.15833333333333,1.06041666666667,1.23611111111111,1.15416666666667,0.827083333333333
